번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,시장구분
32,89470,HDC현대EP,32004,기타 화학제품 제조업,"31,900,000","17,200,000,000",500,원(KRW),041-350-0500,충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사,KOSPI
33,294870,HDC현대산업개발,64101,건물 건설업,"43,938,220","219,691,100,000","5,000",원(KRW),02-2008-9114,서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 ,KOSPI
34,82740,HSD엔진,32901,일반 목적용 기계 제조업,"32,947,142","32,947,142,000","1,000",원(KRW),055-260-6000,경상남도 창원시 성산구 공단로 67 (신촌동),KOSPI
35,175330,JB금융지주,116409,기타 금융업,"196,982,894","984,914,470,000","5,000",원(KRW),02-2128-2727,전라북도 전주시 덕진구  백제대로 566 ,KOSPI
36,234080,JW생명과학,32102,의약품 제조업,"15,834,554","39,586,385,000","2,500",원(KRW),041-351-7600,충청남도 당진시 송악읍 한진1길 28 ,KOSPI
37,1060,JW중외제약,32102,의약품 제조업,"20,196,684","51,129,622,500","2,500",원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,KOSPI
38,96760,JW홀딩스,116409,기타 금융업,"64,520,904","32,260,452,000",500,원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,KOSPI
39,105560,KB금융,116409,기타 금융업,"418,111,537","2,090,557,685,000","5,000",원(KRW),02-2073-7114,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",KOSPI
40,9440,KC그린홀딩스,116409,기타 금융업,"22,434,980","11,217,490,000",500,원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,KOSPI
41,119650,KC코트렐,32901,일반 목적용 기계 제조업,"13,000,000","6,500,000,000",500,원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,KOSPI
42,92220,KEC,32601,반도체 제조업,"112,451,621","56,225,810,500",500,원(KRW),02-2025-5000,서울특별시 서초구  마방로10길 5 ,KOSPI
43,1390,KG케미칼,32001,기초 화학물질 제조업,"12,455,526","64,585,875,000","5,000",원(KRW),052-231-1842,울산광역시 울주군 온산읍 당월로 322 ,KOSPI
44,1940,KISCO홀딩스,116409,기타 금융업,"18,476,380","18,476,380,000","1,000",원(KRW),055-260-0500,경상남도 창원시 성산구  공단로103번길 12 한국철강(주) ,KOSPI
45,25000,KPX케미칼,32001,기초 화학물질 제조업,"4,840,000","24,200,000,000","5,000",원(KRW),02-2014-4000,서울특별시 마포구  마포대로 137  KPX빌딩,KOSPI
46,92230,KPX홀딩스,116409,기타 금융업,"4,224,646","21,123,230,000","5,000",원(KRW),02-2014-4150,서울특별시 마포구  마포대로 137 KPX빌딩 19층,KOSPI
47,40,KR모터스,33109,그외 기타 운송장비 제조업,"189,444,075","94,722,037,500",500,원(KRW),055-282-7011,경상남도 창원시 성산구 완암로 28 　,KOSPI
48,44450,KSS해운,85001,해상 운송업,"23,185,880","11,592,940,000",500,원(KRW),3702-2700,서울특별시 종로구 인사동길 12 대일빌딩 8층 ,KOSPI
49,30210,KTB투자증권,116601,금융 지원 서비스업,"60,314,092","301,570,460,000","5,000",원(KRW),02-2184-2000,서울특별시 영등포구  여의대로 66 KTB빌딩,KOSPI
50,58850,KTcs,106309,기타 정보 서비스업,"42,685,000","23,842,500,000",500,원(KRW),042-604-5138,대전광역시 서구 갈마로 160 ,KOSPI
51,93050,LF,31401,봉제의복 제조업,"29,240,000","146,200,000,000","5,000",원(KRW),02-3441-8114,서울특별시 강남구 언주로 870 (신사동) ,KOSPI
52,3550,LG,116409,기타 금융업,"172,557,131","879,359,040,000","5,000",원(KRW),02-3773-5114,서울특별시 영등포구  여의대로 128 ,KOSPI
53,34220,LG디스플레이,32602,전자부품 제조업,"357,815,700","1,789,078,500,000","5,000",원(KRW),02-3777-5114,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) ,KOSPI
54,1120,LG상사,74601,상품 중개업,"38,760,000","193,800,000,000","5,000",원(KRW),02-3773-1114,서울특별시 종로구 새문안로 58 LG광화문빌딩 ,KOSPI
55,51900,LG생활건강,32004,기타 화학제품 제조업,"15,618,197","88,589,470,000","5,000",원(KRW),02-3773-5114,서울특별시 종로구  새문안로 58 ,KOSPI
56,32640,LG유플러스,106102,전기 통신업,"436,611,361","2,573,969,175,000","5,000",원(KRW),02-3773-1114,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,KOSPI
57,11070,LG이노텍,32602,전자부품 제조업,"23,667,107","118,335,535,000","5,000",원(KRW),02-3777-1114,서울특별시 중구 후암로 98 LG서울역빌딩 ,KOSPI
58,66570,LG전자,32604,통신 및 방송 장비 제조업,"163,647,814","904,169,030,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 LG트윈타워,KOSPI
59,108670,LG하우시스,32202,플라스틱제품 제조업,"8,967,670","50,000,000,000","5,000",원(KRW),3777-1114,서울특별시 영등포구 국제금융로 10 국제금융센터(One IFC),KOSPI
60,51910,LG화학,32001,기초 화학물질 제조업,"70,592,343","391,405,715,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 ,KOSPI
61,79550,LIG넥스원,32502,무기 및 총포탄 제조업,"22,000,000","110,000,000,000","5,000",원(KRW),1644 - 2005,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주) ,KOSPI
62,6260,LS,116409,기타 금융업,"32,200,000","161,000,000,000","5,000",원(KRW),02-2189-9988,서울특별시 용산구 한강대로 92 LS용산타워 - ,KOSPI
63,680,LS네트웍스,74608,상품 종합 도매업,"78,803,016","394,015,080,000","5,000",원(KRW),02-799-7114,"경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)",KOSPI
64,10120,LS산전,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","30,000,000","150,000,000,000","5,000",원(KRW),02-2034-4237,경기도 안양시 동안구  엘에스로 127 LS타워,KOSPI
65,229640,LS전선아시아,116409,기타 금융업,"30,624,879","15,312,439,500",500,원(KRW),031-428-0288,"경기도 안양시 동안구 엘에스로 127(호계동, LS타워) 3층 ",KOSPI
66,23150,MH에탄올,31101,알코올음료 제조업,"7,378,526","4,596,763,000",500,원(KRW),055-231-0701,경상남도 창원시 마산회원구 내서읍 광려천남로 25 ,KOSPI
67,35420,NAVER,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","164,813,395","16,481,339,500",100,원(KRW),1588-3830,경기도 성남시 분당구  불정로 6 ,KOSPI
68,181710,NHN엔터테인먼트,105802,소프트웨어 개발 및 공급업,"19,565,025","9,782,512,500",500,원(KRW),1544-6859,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,KOSPI
69,5940,NH투자증권,116601,금융 지원 서비스업,"281,408,887","1,531,275,030,000","5,000",원(KRW),02-768-7000,서울특별시 영등포구 여의대로 60 우리투자증권빌딩,KOSPI
70,34310,NICE,137105,회사 본부 및 경영 컨설팅 서비스업,"37,882,300","18,941,150,000",500,원(KRW),02-2122-4000,서울특별시 영등포구 은행로 17 (여의도동) NICE 그룹 1사옥,KOSPI
71,8260,NI스틸,32401,1차 철강 제조업,"28,600,117","14,300,058,500",500,원(KRW),02-758-6789,서울특별시 동작구 동작대로 35 - ,KOSPI
72,10060,OCI,32001,기초 화학물질 제조업,"23,849,371","127,246,855,000","5,000",원(KRW),02-727-9500,서울특별시 중구  소공로 94 OCI 빌딩,KOSPI
73,100840,S&TC,32901,일반 목적용 기계 제조업,"7,297,150","3,648,575,000",500,원(KRW),055-212-6500,경상남도 창원시 성산구  완암로 12 ,KOSPI
74,64960,S&T모티브,33003,자동차 신품 부품 제조업,"14,623,136","73,115,680,000","5,000",원(KRW),051-509-2114,부산광역시 기장군  철마면 여락송정로 363 ,KOSPI
75,3570,S&T중공업,33003,자동차 신품 부품 제조업,"32,473,439","83,683,597,500","2,500",원(KRW),055-280-5000,경상남도 창원시 성산구  남면로 599 ,KOSPI
76,36530,S&T홀딩스,116409,기타 금융업,"16,303,886","8,351,943,000",500,원(KRW),02-3279-5010,서울특별시 금천구  가산디지털1로 134 ,KOSPI
77,10950,S-Oil,31902,석유 정제품 제조업,"112,582,792","291,511,797,500","2,500",원(KRW),02-3772-5151,서울특별시 마포구  백범로 192 ,KOSPI
78,34120,SBS,106002,텔레비전 방송업,"18,252,582","91,262,910,000","5,000",원(KRW),02-2061-0006,서울특별시 양천구  목동서로 161 ,KOSPI
79,101060,SBS미디어홀딩스,116409,기타 금융업,"139,896,190","69,948,095,000",500,원(KRW),02-2113-5599,서울특별시 양천구  목동서로 161 ,KOSPI
80,4060,SG세계물산,74608,상품 종합 도매업,"202,424,960","101,212,480,000",500,원(KRW),02-850-5191,서울특별시 금천구  디지털로10길 35 ,KOSPI
81,1380,SG충방,33003,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",500,원(KRW),070-5038-5498,충청남도 예산군 예산읍 창말로 75 (주)SG충방,KOSPI
82,2360,SH에너지화학,32001,기초 화학물질 제조업,"111,133,730","55,566,865,000",500,원(KRW),063-469-1500,전라북도 군산시 외항7길 20 ,KOSPI
83,9160,SIMPAC,32902,특수 목적용 기계 제조업,"65,429,516","32,714,758,000",500,원(KRW),032-510-0044,인천광역시 부평구  부평북로 141 (주)SIMPAC,KOSPI
84,34730,SK,116409,기타 금융업,"70,360,297","15,385,286,400",200,원(KRW),02-2121-5114,서울특별시 종로구 종로 26 SK주식회사,KOSPI
85,11790,SKC,32004,기타 화학제품 제조업,"37,534,555","187,672,775,000","5,000",원(KRW),031-250-7114,경기도 수원시 장안구 장안로309번길 84 (정자동) ,KOSPI
86,18670,SK가스,74607,기타 전문 도매업,"9,054,167","45,270,835,000","5,000",원(KRW),02-6200-8114,경기도 성남시 분당구 판교로 332 ECO Hub,KOSPI
87,1740,SK네트웍스,74607,기타 전문 도매업,"248,187,647","620,753,237,500","2,500",원(KRW),070-7800-2114,서울특별시 중구  남대문로 90 5-3 SK네트웍스,KOSPI
88,6120,SK디스커버리,116409,기타 금융업,"19,037,855","111,677,150,000","5,000",원(KRW),02-2008-2008,경기도 성남시 분당구 판교로 332 -,KOSPI
89,210980,SK디앤디,126801,부동산 임대 및 공급업,"18,990,164","18,990,164,000","1,000",원(KRW),02-398-4700,경기도 성남시 분당구 판교로 332 (삼평동),KOSPI
90,96770,SK이노베이션,116409,기타 금융업,"92,465,564","468,569,950,000","5,000",원(KRW),02-2121-5114,서울특별시 종로구  종로 26 ,KOSPI
91,1510,SK증권,116601,금융 지원 서비스업,"472,590,171","238,251,342,500",500,원(KRW),02-3773-8245,서울특별시 영등포구 국제금융로8길 31 여의도동 SK증권빌딩,KOSPI
92,285130,SK케미칼,32002,합성고무 및 플라스틱 물질 제조업,"11,579,852","65,192,610,000","5,000",원(KRW),02-2008-2726,경기도 성남시 분당구 판교로 310 ,KOSPI
93,17670,SK텔레콤,106102,전기 통신업,"80,745,711","44,639,473,000",500,원(KRW),02-6100-2114,서울특별시 중구  을지로 65 (을자로2가),KOSPI
94,660,SK하이닉스,32601,반도체 제조업,"728,002,365","3,657,652,050,000","5,000",원(KRW),031-630-4114,경기도 이천시  부발읍 경충대로 2091 ,KOSPI
95,5610,SPC삼립,31007,기타 식품 제조업,"8,629,009","43,145,045,000","5,000",원(KRW),02-2276-5061,경기도 시흥시 공단1대로 101 ,KOSPI
96,11810,STX,74608,상품 종합 도매업,"19,726,902","49,317,255,000","2,500",원(KRW),02-316-9600,경상남도 창원시 성산구  중앙대로 105  ,KOSPI
97,77970,STX엔진,32901,일반 목적용 기계 제조업,"23,008,904","57,522,260,000","2,500",원(KRW),-,경상남도 창원시 성산구  공단로474번길 36 ,KOSPI
98,71970,STX중공업,32901,일반 목적용 기계 제조업,"28,081,731","70,204,327,500","2,500",원(KRW),055-280-0700,경상남도 창원시 성산구  남면로 381 ,KOSPI
99,2710,TCC동양,32401,1차 철강 제조업,"22,342,500","22,342,500,000","1,000",원(KRW),02-2633-3311,경상북도 포항시 남구  괴동로 100 ,KOSPI
100,24070,WISCOM,32202,플라스틱제품 제조업,"15,025,920","7,512,960,000",500,원(KRW),031-495-1181,경기도 안산시 단원구  강촌로 237 ,KOSPI
101,37270,YG PLUS,33304,"인형,장난감 및 오락용품 제조업","58,170,704","29,710,352,000",500,원(KRW),02-3140-4600,서울특별시 강남구 도산대로15길 12 -,KOSPI
102,500,가온전선,32803,절연선 및 케이블 제조업,"4,160,347","20,801,735,000","5,000",원(KRW),02-6921-3921,경기도 군포시  엘에스로45번길 120 ,KOSPI
103,860,강남제비스코,32004,기타 화학제품 제조업,"6,500,000","6,500,000,000","1,000",원(KRW),051-892-4221,부산광역시 부산진구  냉정로 289 (가야동),KOSPI
104,35250,강원랜드,189102,유원지 및 기타 오락관련 서비스업,"213,940,500","106,970,250,000",500,원(KRW),033-590-7700,강원도 정선군 사북읍 하이원길 265 강원랜드,KOSPI
105,11420,갤럭시아에스엠,189101,스포츠 서비스업,"27,549,644","13,774,822,000",500,원(KRW),02-775-1300,서울특별시 강남구  학동로 311 미성빌딩 7층  ,KOSPI
106,2100,경농,32003,"비료, 농약 및 살균, 살충제 제조업","21,691,750","10,845,875,000",500,원(KRW),02-3488-5800,서울특별시 서초구 강남대로39길 15-10한라비발디스튜디오193 ,KOSPI
107,9450,경동나비엔,32805,가정용 기기 제조업,"12,739,510","12,739,510,000","1,000",원(KRW),031-8060-5500,경기도 평택시 서탄면 수월암길 95 -,KOSPI
108,267290,경동도시가스,43502,연료용 가스 제조 및 배관공급업,"4,717,063","11,792,657,500","2,500",원(KRW),052-219-5300,울산광역시 북구 염포로 260-10(진장동) 주식회사 경동도시가스 ,KOSPI
109,12320,경동인베스트,116409,기타 금융업,"2,365,023","11,825,115,000","5,000",원(KRW),031-738-5557,경기도 성남시 분당구 수내로46번길 4 경동빌딩 -,KOSPI
110,50,경방,31301,방적 및 가공사 제조업,"27,415,270","13,707,635,000",500,원(KRW),02-2638-6000,서울특별시 영등포구 영중로 15 (영등포동 4가) ,KOSPI
111,214390,경보제약,32101,기초 의약물질 및 생물학적 제제 제조업,"23,906,860","11,953,430,000",500,원(KRW),02-2175-2315,충청남도 아산시 실옥로 174 ,KOSPI
112,12610,경인양행,32001,기초 화학물질 제조업,"40,396,365","20,198,182,500",500,원(KRW),032-571-7498,인천광역시 서구  건지로 199 (석남동) 223-52,KOSPI
113,9140,경인전자,32602,전자부품 제조업,"1,570,797","7,853,985,000","5,000",원(KRW),02-2113-2000,"서울특별시 금천구  가산디지털2로 184 1411호(가산동,벽산/경인디지털밸리2)",KOSPI
114,13580,계룡건설산업,64102,토목 건설업,"8,930,907","44,654,535,000","5,000",원(KRW),042-480-7114-5,대전광역시 서구 문정로48번길 48 -,KOSPI
115,12200,계양전기,32901,일반 목적용 기계 제조업,"32,600,000","17,000,000,000",500,원(KRW),02-559-6800,서울특별시 강남구 테헤란로 508 (대치동)해성2빌딩 2층,KOSPI
116,4200,고려개발,64102,토목 건설업,"30,438,889","152,194,445,000","5,000",원(KRW),031-420-9000,"경기도 용인시 수지구 풍덕천로 112 501(풍덕천동, 하나프라자빌딩)",KOSPI
117,2140,고려산업,31006,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000","1,000",원(KRW),051-600-5069,부산광역시 사상구 새벽시장로 21(감전동) ,KOSPI
118,10130,고려아연,32402,1차 비철금속 제조업,"18,870,000","94,350,000,000","5,000",원(KRW),02-519-3416,서울특별시 강남구  강남대로 542 영풍빌딩 ,KOSPI
119,2240,고려제강,32401,1차 철강 제조업,"20,000,000","20,000,000,000","1,000",원(KRW),051-760-1700,부산광역시 수영구 구락로 150 ,KOSPI
120,1290,골든브릿지증권,116601,금융 지원 서비스업,"50,693,589","51,997,065,000","1,000",원(KRW),02-3779-3000,서울특별시 서대문구 충정로 50 골든브릿지빌딩 ,KOSPI
121,9290,광동제약,32102,의약품 제조업,"52,420,851","52,420,851,000","1,000",원(KRW),02-6006-7777,서울특별시 서초구  서초중앙로 85 가산빌딩 ,KOSPI
122,17040,광명전기,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","43,337,615","21,668,807,500",500,원(KRW),031-494-0720,경기도 안산시 단원구  목내로 160 (목내동) ,KOSPI
123,17900,광전자,32601,반도체 제조업,"57,943,763","28,971,881,500",500,원(KRW),063-839-1111,전라북도 익산시 약촌로8길 62-8 (어양동),KOSPI
124,37710,광주신세계,74701,종합 소매업,"1,600,000","8,000,000,000","5,000",원(KRW),062-360-1234,광주광역시 서구  무진대로 932 (주)광주신세계,KOSPI
125,30610,교보증권,116601,금융 지원 서비스업,"36,000,000","180,000,000,000","5,000",원(KRW),02-3771-9000,서울특별시 영등포구 의사당대로 97 교보증권빌딩 ,KOSPI
126,7690,국도화학,32001,기초 화학물질 제조업,"5,810,616","29,053,080,000","5,000",원(KRW),02-3282-1400,서울특별시 금천구  가산디지털2로 61 ,KOSPI
127,5320,국동,74604,생활용품 도매업,"13,740,480","6,870,240,000",500,원(KRW),02-3407-7710,"서울특별시 동대문구 천호대로 405 7,8층(장안동,동보빌딩) ",KOSPI
128,1140,국보,84903,도로 화물 운송업,"1,682,304","8,411,520,000","5,000",원(KRW),02-765-5544,서울특별시 중구 소공로 88 ,KOSPI
129,2720,국제약품,32102,의약품 제조업,"18,057,107","18,057,107,000","1,000",원(KRW),031-781-9081,경기도 성남시 분당구  야탑로 96-8 ,KOSPI
130,83420,그린케미칼,32004,기타 화학제품 제조업,"20,000,000","10,000,000,000",500,원(KRW),041-661-5000,충남 서산시 대산읍 독곳리 411-13,KOSPI
131,14530,극동유화,31902,석유 정제품 제조업,"34,869,420","17,434,710,000",500,원(KRW),055-370-9900,경상남도 양산시  어실로 101 ,KOSPI
132,14280,금강공업,32401,1차 철강 제조업,"4,855,964","24,869,695,000","5,000",원(KRW),051-264-8881,부산광역시 사하구  다산로 110 ,KOSPI
133,8870,금비,32301,유리 및 유리제품 제조업,"1,000,000","5,000,000,000","5,000",원(KRW),031-632-5280,경기도 이천시 부발읍 중부대로1707번길 13 ,KOSPI
134,1570,금양,32001,기초 화학물질 제조업,"43,930,765","21,965,382,500",500,원(KRW),051-316-5881,부산광역시 사상구  낙동대로960번길 81 (감전동) (주)금양,KOSPI
135,2990,금호산업,64101,건물 건설업,"36,035,349","181,638,075,000","5,000",원(KRW),02-6303-0114,전라남도 나주시 시청길 4 ,KOSPI
136,11780,금호석유화학,32001,기초 화학물질 제조업,"30,467,691","167,455,885,000","5,000",원(KRW),02-6961-1114,서울특별시 중구 청계천로 100,KOSPI
137,214330,금호에이치티,33003,자동차 신품 부품 제조업,"15,981,293","7,990,646,500",500,원(KRW),062-958-2700,광주광역시 광산구 용아로 717 ,KOSPI
138,1210,금호전기,32804,전구 및 조명장치 제조업,"6,976,579","34,882,895,000","5,000",원(KRW),02-707-4000,서울특별시 마포구  마포대로4다길 41 마포타워빌딩 ,KOSPI
139,73240,금호타이어,32201,고무제품 제조업,"287,260,287","1,436,301,435,000","5,000",원(KRW),02-6303-8114,광주광역시 광산구  어등대로 658 ,KOSPI
140,92440,기신정기,32902,특수 목적용 기계 제조업,"29,200,000","14,600,000,000",500,원(KRW),032-820-1600,"인천광역시 남동구  은봉로 111 49동 1호(논현동, 남동공단)",KOSPI
141,270,기아자동차,33001,자동차용 엔진 및 자동차 제조업,"405,363,347","2,139,316,735,000","5,000",원(KRW),02-3464-1114,서울특별시 서초구 헌릉로 12 기아자동차,KOSPI
142,24110,기업은행,116401,은행 및 저축기관,"559,978,815","2,799,894,075,000","5,000",원(KRW),02-729-6114,서울특별시 중구 을지로 79 중소기업은행본점,KOSPI
143,13700,까뮤이앤씨,64101,건물 건설업,"45,152,280","22,576,140,000",500,원(KRW),031-633-9114,경기도 이천시 대월면 경충대로 1937번길 57 ,KOSPI
144,4540,깨끗한나라,31701,"펄프, 종이 및 판지 제조업","37,240,693","188,034,265,000","5,000",원(KRW),02-2270-9200,서울특별시 중구  삼일대로6길 5 신조양빌딩 8층 ,KOSPI
145,74610,나노메딕스,32901,일반 목적용 기계 제조업,"28,074,304","14,037,152,000",500,원(KRW),031-366-9600,경기도 화성시  비봉면 현대기아로 818-11 ,KOSPI
146,1260,남광토건,64102,토목 건설업,"9,827,396","49,136,980,000","5,000",원(KRW),02-3011-0114,"경기도 용인시 기흥구 흥덕중앙로 120 비122호(영덕동, 흥덕유타워) ",KOSPI
147,8350,남선알미늄,32402,1차 비철금속 제조업,"110,179,090","55,243,490,000",500,원(KRW),053-610-5110,대구광역시 달성군  논공읍 논공중앙로 288 ,KOSPI
148,4270,남성,74607,기타 전문 도매업,"36,212,160","18,106,080,000",500,원(KRW),02-2109-1550,서울특별시 구로구 디지털로31길 20 크라운프라자 13층 (주)남성,KOSPI
149,3920,남양유업,31005,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000","5,000",원(KRW),02-2010-6601,서울특별시 강남구 도산대로 240 1964빌딩,KOSPI
150,2070,남영비비안,31401,봉제의복 제조업,"6,867,945","6,867,945,000","1,000",원(KRW),02-3780-1114,서울특별시 용산구  서빙고로51길 52 ,KOSPI
151,25860,남해화학,32003,"비료, 농약 및 살균, 살충제 제조업","49,678,843","49,678,843,000","1,000",원(KRW),061-688-5354,서울특별시 강남구 테헤란로113길 15 (삼성동) ,KOSPI
152,5720,넥센,116409,기타 금융업,"53,543,977","28,572,288,500",500,원(KRW),055-333-0771,경상남도 김해시  김해대로 2595 ,KOSPI
153,2350,넥센타이어,32201,고무제품 제조업,"97,667,877","54,083,938,500",500,원(KRW),055-370-5114,경상남도 양산시  충렬로 355 넥센타이어 ,KOSPI
154,3580,넥스트사이언스,20702,기타 비금속광물 광업,"22,510,021","11,255,010,500",500,원(KRW),02-6925-4450,강원도 정선군  사북읍 동탄길 32 ,KOSPI
155,251270,넷마블,105802,소프트웨어 개발 및 공급업,"85,266,510","8,526,651,000",100,원(KRW),02-2271-7114,"서울특별시 구로구 디지털로 300 (구로동, 지밸리비즈플라자)",KOSPI
156,90350,노루페인트,32004,기타 화학제품 제조업,"20,000,000","10,231,563,000",500,원(KRW),031-467-6114,경기도 안양시 만안구  박달로 351 ,KOSPI
